stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
10732,Şoför Ali Cad. 4,37.08327,37.38159,0,,0,
10746,Zefer Düğün Salonu,37.04694,37.35827,0,,0,
13033,Sanko Okulları,37.0668652,37.3399718,0,,0,
11288,Öz Sabuncuoğlu Yurdu,37.0387,37.34255,0,,0,
10743,Derman Sağlık Kabini,37.039747,37.347759,0,,0,
11934,60.Yıl 16.Nolu Cadde,37.03927,37.34063,0,,0,
13045,Adliye,37.0854899,37.3504843,0,,0,
13009,Şahinbey Parkı,37.0255272,37.3343203,0,,0,
10952,Muhsin Yazıcıoğlu Parkı,37.046,37.36059,0,,0,
11269,Muhsin Yazıcıoğlu Parkı,37.04676,37.36073,0,,0,
10541,Küçük Kızılhisar,37.00293,37.3057,0,,0,
10796,Cumhuriyet İtfaiyesi,37.05377,37.35735,0,,0,
11370,Güneş Mah. 1 Nolu Cad.,37.03568,37.36525,0,,0,
11278,60.Yıl Mah.,37.04389,37.3409,0,,0,
13003,Akkent Meydanı,37.0152601,37.366914,0,,0,
11279,Kurtuluş İ.Ö.O,37.04324,37.33885,0,,0,
11284,Kurtuluş İlköğretim Okulu,37.04289,37.33825,0,,0,
11280,Şafak Market,37.04201,37.33507,0,,0,
10312,Hanifi Yüceler Cad.,37.08189,37.39037,0,,0,
12216,Sever Avm,37.07278,37.411088,0,,0,
10310,Hacı Baba Su Deposu 1,37.0845,37.38502,0,,0,
12230,Gürsu Mahallesi 3,36.980502,37.497103,0,,0,
13021,Rasaf Yolu,37.0562427,37.3306714,0,,0,
13034,Olimpik Havuz,37.0698297,37.3307388,0,,0,
12276,Mavikent 3.Etap Sitesi,37.0024208,37.383298,0,,0,
12174,Esentepe Mahallesi 36 Nolu Sk,37.042501,37.387853,0,,0,
12282,Sarıbugday Köyü,37.3042086,37.5159668,0,,0,
12279,Ballık Köyü,37.3324245,37.5331316,0,,0,
12280,Degirmitaş Köyü,37.3271565,37.507829,0,,0,
12173,Esentepe Mahallesi 36 Nolu Sk,37.042807,37.387869,0,,0,
12281,Bakırca Köyü,37.3146383,37.5047106,0,,0,
11587,Polis Okulu,37.0891,37.34546,0,,0,
11589,Esko Sitesi,37.090458,37.341476,0,,0,
10036,Ulu Mobilya Tugay,37.091476,37.34525,0,,0,
10038,Güvenevler 26 Nolu Cad. 1,37.09443,37.33923,0,,0,
12508,Trafik Eğitim Parkı 1.,37.1004783,37.4142395,0,,0,
10052,Sağlamcılar Camii Önü,37.07288,37.33412,0,,0,
10116,Muhsin Yazıcıoğlu Cad.,37.06993,37.3304,0,,0,
10051,Sena Sitesi,37.07061,37.33279,0,,0,
11235,Karmen Çiçek,37.06573,37.34591,0,,0,
11234,Dentalize,37.0678,37.34704,0,,0,
11217,Osman Tezel,37.06885,37.34821,0,,0,
10175,Shell Petrol,37.07046,37.37257,0,,0,
11712,Hanifi Yüceler Cad. 2,37.08208,37.39039,0,,0,
10824,Perilikaya 16 Nolu Cadde,37.04892,37.41508,0,,0,
11032,Mitat Enç 2,37.07044,37.36448,0,,0,
10974,Dumlupınar Mahallesi 106 Nolu Sokak,37.03592,37.38766,0,,0,
10589,Dumlupınar Yalçın Pide,37.038756,37.387818,0,,0,
13012,Güneykent,37.0289114,37.3280497,0,,0,
11264,25.Aralık İ.Ö Okulu,37.0477,37.38577,0,,0,
11882,Titizler Caddesi,37.04659,37.38298,0,,0,
11758,Oğuzeli Neva Apt.,36.960837,37.520453,0,,0,
11858,Oğuzeli Favori Market,36.9609,37.51653,0,,0,
12023,Oğuzeli Ali Nafak Cad.,36.96013,37.51793,0,,0,
11723,Çamlıtepe Mahallesi Muhtarlık,37.12905,37.41662,0,,0,
12461,Karacaören Küme Evleri,37.195335,37.405962,0,,0,
11730,Belkız Mah. Ayalp İnşaat,37.09637,37.42281,0,,0,
11733,Gazikent 26 Nolu Cad. 2,37.09654,37.42777,0,,0,
10159,Sultana Tıp Merkezi,37.0678304,37.4155979,0,,0,
13046,İbni Sina,37.0154577,37.3838431,0,,0,
10195,Seyrantepe Parkı,37.0736541,37.4204607,0,,0,
11799,Seyrantepe 10.Nolu Cadde,37.0756821,37.4170909,0,,0,
10055,Abdulkadir Aksu Blv. Metro Avm.,37.06459,37.33543,0,,0,
10473,Mevlana Camii,37.047015,37.392483,0,,0,
10111,Abdulkadir Aksu Blv. Metro Avm.,37.06476,37.33594,0,,0,
12152,Kozluyazı Yol Çatı,37.17642,37.50399,0,,0,
10471,Mevlana Camii,37.04681,37.392434,0,,0,
